id,x,y,latitude,longitude,label,tags,url,xywh
point_75,,,28.507322,129.691975,つい瀬,干瀬,"https://maps.app.goo.gl/?q=28.507322,129.691975",
point_76,,,28.473019,129.7164337,もとぐの崎,崎,"https://maps.app.goo.gl/?q=28.473019,129.7164337",
point_77,,,28.4639364,129.7253306,丸瀬,干瀬,"https://maps.app.goo.gl/?q=28.4639364,129.7253306",
point_78,,,28.427452,129.706495,わの大瀬,干瀬,"https://maps.app.goo.gl/?q=28.427452,129.706495",
point_79,,,28.432159,129.6875555,あまみ嶽,山,"https://maps.app.goo.gl/?q=28.432159,129.6875555",
point_80,,,28.3993024,129.6637016,かめ山の崎,崎,"https://maps.app.goo.gl/?q=28.3993024,129.6637016",
point_81,,,28.4774528,129.6216667,大くろ崎,崎,"https://maps.app.goo.gl/?q=28.4774528,129.6216667",
point_82,,,28.4618104,129.5446668,のりせ崎,崎,"https://maps.app.goo.gl/?q=28.4618104,129.5446668",
point_83,,,28.4451453,129.5233771,ほらん崎,崎,"https://maps.app.goo.gl/?q=28.4451453,129.5233771",
point_84,,,28.4016995,129.4890583,赤崎,崎,"https://maps.app.goo.gl/?q=28.4016995,129.4890583",
point_85,,,28.407908,129.470982,あやう崎,崎,"https://maps.app.goo.gl/?q=28.407908,129.470982",
point_86,,,28.41187,129.4549944,立瀬,干瀬,"https://maps.app.goo.gl/?q=28.41187,129.4549944",
point_87,,,28.385316,129.3952953,都崎,崎,"https://maps.app.goo.gl/?q=28.385316,129.3952953",
point_88,,,28.3361951,129.3776715,大和馬場湊,港湾,"https://maps.app.goo.gl/?q=28.3361951,129.3776715",
point_89,,,28.3590347,129.3541259,黒瀬,干瀬,"https://maps.app.goo.gl/?q=28.3590347,129.3541259",
point_90,,,28.3610631,129.3519234,おりせの崎,崎,"https://maps.app.goo.gl/?q=28.3610631,129.3519234",
point_91,,,28.3678738,129.3481652,通り瀬,干瀬,"https://maps.app.goo.gl/?q=28.3678738,129.3481652",
point_92,,,28.3689229,129.3445322,大崎,崎,"https://maps.app.goo.gl/?q=28.3689229,129.3445322",
point_93,,,28.3497355,129.3113573,あさん崎,崎,"https://maps.app.goo.gl/?q=28.3497355,129.3113573",
